S.no,Name,Type,Weaknesses,Height,Weight,Gender,Category
#0558,Crustle,Bug/Rock,Water/Rock/Steel,1.4 m,200 kg,male/female,Stone Home
#0559,Scraggy,Dark/Fighting,Fighting/Flying/Fairy,0.6 m,11.8 kg,male/female,Shedding
#0560,Scrafty,Dark/Fighting,Fighting/Flying/Fairy,1.1 m,30 kg,male/female,Hoodlum
#0561,Sigilyph,Psychic/Flying,Electric/Ice/Rock/Ghost/Dark,1.4 m,14 kg,male/female,Avianoid
#0562,Yamask,Ghost,Ghost/Dark,0.5 m,1.5 kg,male/female,Spirit
#0563,Cofagrigus,Ghost,Ghost/Dark,1.7 m,76.5 kg,male/female,Coffin
#0564,Tirtouga,Water/Rock,Electric/Grass/Fighting/Ground,0.7 m,16.5 kg,male/female,Prototurtle
#0565,Carracosta,Water/Rock,Electric/Grass/Fighting/Ground,1.2 m,81 kg,male/female,Prototurtle
#0566,Archen,Rock/Flying,Water/Electric/Ice/Rock/Steel,0.5 m,9.5 kg,male/female,First Bird
#0567,Archeops,Rock/Flying,Water/Electric/Ice/Rock/Steel,1.4 m,32 kg,male/female,First Bird
#0568,Trubbish,Poison,Ground/Psychic,0.6 m,31 kg,male/female,Trash Bag
#0569,Garbodor,Poison,Ground/Psychic,1.9 m,107.3 kg,male/female,Trash Heap
#0570,Zorua,Dark,Fighting/Bug/Fairy,0.7 m,12.5 kg,male/female,Tricky Fox
#0571,Zoroark,Dark,Fighting/Bug/Fairy,1.6 m,81.1 kg,male/female,Illusion Fox
#0572,Minccino,Normal,Fighting,0.4 m,5.8 kg,male/female,Chinchilla
#0573,Cinccino,Normal,Fighting,0.5 m,7.5 kg,male/female,Scarf
#0574,Gothita,Psychic,Bug/Ghost/Dark,0.4 m,5.8 kg,male/female,Fixation
#0575,Gothorita,Psychic,Bug/Ghost/Dark,0.7 m,18 kg,male/female,Manipulate
#0576,Gothitelle,Psychic,Bug/Ghost/Dark,1.5 m,44 kg,male/female,Astral Body
#0577,Solosis,Psychic,Bug/Ghost/Dark,0.3 m,1 kg,male/female,Cell
#0578,Duosion,Psychic,Bug/Ghost/Dark,0.6 m,8 kg,male/female,Mitosis
#0579,Reuniclus,Psychic,Bug/Ghost/Dark,1 m,20.1 kg,male/female,Multiplying
#0580,Ducklett,Water/Flying,Electric/Rock,0.5 m,5.5 kg,male/female,Water Bird
#0581,Swanna,Water/Flying,Electric/Rock,1.3 m,24.2 kg,male/female,White Bird
#0582,Vanillite,Ice,Fire/Fighting/Rock/Steel,0.4 m,5.7 kg,male/female,Fresh Snow
#0583,Vanillish,Ice,Fire/Fighting/Rock/Steel,1.1 m,41 kg,male/female,Icy Snow
#0584,Vanilluxe,Ice,Fire/Fighting/Rock/Steel,1.3 m,57.5 kg,male/female,Snowstorm
#0585,Deerling,Normal/Grass,Fire/Ice/Fighting/Poison/Flying/Bug,0.6 m,19.5 kg,male/female,Season
#0586,Sawsbuck,Normal/Grass,Fire/Ice/Fighting/Poison/Flying/Bug,1.9 m,92.5 kg,male/female,Season
#0587,Emolga,Electric/Flying,Ice/Rock,0.4 m,5 kg,male/female,Sky Squirrel
#0588,Karrablast,Bug,Fire/Flying/Rock,0.5 m,5.9 kg,male/female,Clamping
#0589,Escavalier,Bug/Steel,Fire,1 m,33 kg,male/female,Cavalry
#0590,Foongus,Grass/Poison,Fire/Ice/Flying/Psychic,0.2 m,1 kg,male/female,Mushroom
#0591,Amoonguss,Grass/Poison,Fire/Ice/Flying/Psychic,0.6 m,10.5 kg,male/female,Mushroom
#0592,Frillish-Male,Water/Ghost,Electric/Grass/Ghost/Dark,1.2 m,33 kg,male/female,Floating
#0593,Jellicent-Male,Water/Ghost,Electric/Grass/Ghost/Dark,2.2 m,135 kg,male/female,Floating
#0594,Alomomola,Water,Electric/Grass,1.2 m,31.6 kg,male/female,Caring
#0595,Joltik,Bug/Electric,Fire/Rock,0.1 m,0.6 kg,male/female,Attaching
#0596,Galvantula,Bug/Electric,Fire/Rock,0.8 m,14.3 kg,male/female,EleSpider
#0597,Ferroseed,Grass/Steel,Fire,0.6 m,18.8 kg,male/female,Thorn Seed
#0598,Ferrothorn,Grass/Steel,Fire,1 m,110 kg,male/female,Thorn Pod
#0599,Klink,Steel,Fire/Ground,0.3 m,21 kg,genderless,Gear
#0600,Klang,Steel,Fire/Ground,0.6 m,51 kg,genderless,Gear
#0601,Klinklang,Steel,Fire/Ground,0.6 m,81 kg,genderless,Gear
#0602,Tynamo,Electric,Ground,0.2 m,0.3 kg,male/female,EleFish
#0603,Eelektrik,Electric,Ground,1.2 m,22 kg,male/female,EleFish
#0604,Eelektross,Electric,Ground,2.1 m,80.5 kg,male/female,EleFish
#0605,Elgyem,Psychic,Bug/Ghost/Dark,0.5 m,9 kg,male/female,Cerebral
#0606,Beheeyem,Psychic,Bug/Ghost/Dark,1 m,34.5 kg,male/female,Cerebral
#0607,Litwick,Ghost/Fire,Water/Ground/Rock/Ghost/Dark,0.3 m,3.1 kg,male/female,Candle
#0608,Lampent,Ghost/Fire,Water/Ground/Rock/Ghost/Dark,0.6 m,13 kg,male/female,Lamp
#0609,Chandelure,Ghost/Fire,Water/Ground/Rock/Ghost/Dark,1 m,34.3 kg,male/female,Luring
#0610,Axew,Dragon,Ice/Dragon/Fairy,0.6 m,18 kg,male/female,Tusk
#0611,Fraxure,Dragon,Ice/Dragon/Fairy,1 m,36 kg,male/female,Axe Jaw
#0612,Haxorus,Dragon,Ice/Dragon/Fairy,1.8 m,105.5 kg,male/female,Axe Jaw
#0613,Cubchoo,Ice,Fire/Fighting/Rock/Steel,0.5 m,8.5 kg,male/female,Chill
#0614,Beartic,Ice,Fire/Fighting/Rock/Steel,2.6 m,260 kg,male/female,Freezing
#0615,Cryogonal,Ice,Fire/Fighting/Rock/Steel,1.1 m,148 kg,genderless,Crystallizing
#0616,Shelmet,Bug,Fire/Flying/Rock,0.4 m,7.7 kg,male/female,Snail
#0617,Accelgor,Bug,Fire/Flying/Rock,0.8 m,25.3 kg,male/female,Shell Out
#0618,Stunfisk,Ground/Electric,Water/Grass/Ice/Ground,0.7 m,11 kg,male/female,Trap
#0619,Mienfoo,Fighting,Flying/Psychic/Fairy,0.9 m,20 kg,male/female,Martial Arts
#0620,Mienshao,Fighting,Flying/Psychic/Fairy,1.4 m,35.5 kg,male/female,Martial Arts
#0621,Druddigon,Dragon,Ice/Dragon/Fairy,1.6 m,139 kg,male/female,Cave
#0622,Golett,Ground/Ghost,Water/Grass/Ice/Ghost/Dark,1 m,92 kg,genderless,Automaton
#0623,Golurk,Ground/Ghost,Water/Grass/Ice/Ghost/Dark,2.8 m,330 kg,genderless,Automaton
#0624,Pawniard,Dark/Steel,Fire/Fighting/Ground,0.5 m,10.2 kg,male/female,Sharp Blade
#0625,Bisharp,Dark/Steel,Fire/Fighting/Ground,1.6 m,70 kg,male/female,Sword Blade
#0626,Bouffalant,Normal,Fighting,1.6 m,94.6 kg,male/female,Bash Buffalo
#0627,Rufflet,Normal/Flying,Electric/Ice/Rock,0.5 m,10.5 kg,male,Eaglet
#0628,Braviary,Normal/Flying,Electric/Ice/Rock,1.5 m,41 kg,male,Valiant
#0629,Vullaby,Dark/Flying,Electric/Ice/Rock/Fairy,0.5 m,9 kg,female,Diapered
#0630,Mandibuzz,Dark/Flying,Electric/Ice/Rock/Fairy,1.2 m,39.5 kg,female,Bone Vulture
#0631,Heatmor,Fire,Water/Ground/Rock,1.4 m,58 kg,male/female,Anteater
#0632,Durant,Bug/Steel,Fire,0.3 m,33 kg,male/female,Iron Ant
#0633,Deino,Dark/Dragon,Ice/Fighting/Bug/Dragon/Fairy,0.8 m,17.3 kg,male/female,Irate
#0634,Zweilous,Dark/Dragon,Ice/Fighting/Bug/Dragon/Fairy,1.4 m,50 kg,male/female,Hostile
#0635,Hydreigon,Dark/Dragon,Ice/Fighting/Bug/Dragon/Fairy,1.8 m,160 kg,male/female,Brutal
#0636,Larvesta,Bug/Fire,Water/Flying/Rock,1.1 m,28.8 kg,male/female,Torch
#0637,Volcarona,Bug/Fire,Water/Flying/Rock,1.6 m,46 kg,male/female,Sun
#0638,Cobalion,Steel/Fighting,Fire/Ground,2.1 m,250 kg,genderless,Iron Will
#0639,Terrakion,Rock/Fighting,Water/Grass/Fighting/Ground/Psychic/Steel/Fairy,1.9 m,260 kg,genderless,Cavern
#0640,Virizion,Grass/Fighting,Fire/Ice/Poison/Flying/Psychic/Fairy,2 m,200 kg,genderless,Grassland
#0641,Tornadus-Incarnate,Flying,Electric/Ice/Rock,1.5 m,63 kg,male,Cyclone
#0642,Thundurus-Incarnate,Electric/Flying,Ice/Rock,1.5 m,61 kg,male,Bolt Strike
#0643,Reshiram,Dragon/Fire,Ground/Rock/Dragon,3.2 m,330 kg,genderless,Vast White
#0644,Zekrom,Dragon/Electric,Ice/Ground/Dragon/Fairy,2.9 m,345 kg,genderless,Deep Black
#0645,Landorus-Incarnate,Ground/Flying,Water/Ice,1.5 m,68 kg,male,Abundance
#0646,Kyurem,Dragon/Ice,Fighting/Rock/Dragon/Steel/Fairy,3 m,325 kg,genderless,Boundary
#0647,Keldeo-Ordinary,Water/Fighting,Electric/Grass/Flying/Psychic/Fairy,1.4 m,48.5 kg,genderless,Colt
#0648,Meloetta-Aria,Normal/Psychic,Bug/Dark,0.6 m,6.5 kg,genderless,Melody
#0649,Genesect,Bug/Steel,Fire,1.5 m,82.5 kg,genderless,Paleozoic
#0650,Chespin,Grass,Fire/Ice/Poison/Flying/Bug,0.4 m,9 kg,male/female,Spiny Nut
#0651,Quilladin,Grass,Fire/Ice/Poison/Flying/Bug,0.7 m,29 kg,male/female,Spiny Armor
#0652,Chesnaught,Grass/Fighting,Fire/Ice/Poison/Flying/Psychic/Fairy,1.6 m,90 kg,male/female,Spiny Armor
#0653,Fennekin,Fire,Water/Ground/Rock,0.4 m,9.4 kg,male/female,Fox
#0654,Braixen,Fire,Water/Ground/Rock,1 m,14.5 kg,male/female,Fox
#0655,Delphox,Fire/Psychic,Water/Ground/Rock/Ghost/Dark,1.5 m,39 kg,male/female,Fox
#0656,Froakie,Water,Electric/Grass,0.3 m,7 kg,male/female,Bubble Frog
#0657,Frogadier,Water,Electric/Grass,0.6 m,10.9 kg,male/female,Bubble Frog
#0658,Greninja,Water/Dark,Electric/Grass/Fighting/Bug/Fairy,1.5 m,40 kg,male/female,Ninja
#0659,Bunnelby,Normal,Fighting,0.4 m,5 kg,male/female,Digging
#0660,Diggersby,Normal/Ground,Water/Grass/Ice/Fighting,1 m,42.4 kg,male/female,Digging
#0661,Fletchling,Normal/Flying,Electric/Ice/Rock,0.3 m,1.7 kg,male/female,Tiny Robin
#0662,Fletchinder,Fire/Flying,Water/Electric/Rock,0.7 m,16 kg,male/female,Ember
#0663,Talonflame,Fire/Flying,Water/Electric/Rock,1.2 m,24.5 kg,male/female,Scorching
#0664,Scatterbug,Bug,Fire/Flying/Rock,0.3 m,2.5 kg,male/female,Scatterdust
#0665,Spewpa,Bug,Fire/Flying/Rock,0.3 m,8.4 kg,male/female,Scatterdust
#0666,Vivillon,Bug/Flying,Fire/Electric/Ice/Flying/Rock,1.2 m,17 kg,male/female,Scale
#0667,Litleo,Fire/Normal,Water/Fighting/Ground/Rock,0.6 m,13.5 kg,male/female,Lion Cub
#0668,Pyroar-Male,Fire/Normal,Water/Fighting/Ground/Rock,1.5 m,81.5 kg,male/female,Royal
#0669,Flabebe,Fairy,Poison/Steel,0.1 m,0.1 kg,female,Single Bloom
#0670,Floette,Fairy,Poison/Steel,0.2 m,0.9 kg,female,Single Bloom
#0671,Florges,Fairy,Poison/Steel,1.1 m,10 kg,female,Garden
#0672,Skiddo,Grass,Fire/Ice/Poison/Flying/Bug,0.9 m,31 kg,male/female,Mount
#0673,Gogoat,Grass,Fire/Ice/Poison/Flying/Bug,1.7 m,91 kg,male/female,Mount
#0674,Pancham,Fighting,Flying/Psychic/Fairy,0.6 m,8 kg,male/female,Playful
#0675,Pangoro,Fighting/Dark,Fighting/Flying/Fairy,2.1 m,136 kg,male/female,Daunting
#0676,Furfrou,Normal,Fighting,1.2 m,28 kg,male/female,Poodle
#0677,Espurr,Psychic,Bug/Ghost/Dark,0.3 m,3.5 kg,male/female,Restraint
#0678,Meowstic-Male,Psychic,Bug/Ghost/Dark,0.6 m,8.5 kg,male/female,Constraint
#0679,Honedge,Steel/Ghost,Fire/Ground/Ghost/Dark,0.8 m,2 kg,male/female,Sword
#0680,Doublade,Steel/Ghost,Fire/Ground/Ghost/Dark,0.8 m,4.5 kg,male/female,Sword
#0681,Aegislash-Shield,Steel/Ghost,Fire/Ground/Ghost/Dark,1.7 m,53 kg,male/female,Royal Sword
#0682,Spritzee,Fairy,Poison/Steel,0.2 m,0.5 kg,male/female,Perfume
#0683,Aromatisse,Fairy,Poison/Steel,0.8 m,15.5 kg,male/female,Fragrance
#0684,Swirlix,Fairy,Poison/Steel,0.4 m,3.5 kg,male/female,Cotton Candy
#0685,Slurpuff,Fairy,Poison/Steel,0.8 m,5 kg,male/female,Meringue
#0686,Inkay,Dark/Psychic,Bug/Fairy,0.4 m,3.5 kg,male/female,Revolving
#0687,Malamar,Dark/Psychic,Bug/Fairy,1.5 m,47 kg,male/female,Overturning
#0688,Binacle,Rock/Water,Electric/Grass/Fighting/Ground,0.5 m,31 kg,male/female,Two-Handed
#0689,Barbaracle,Rock/Water,Electric/Grass/Fighting/Ground,1.3 m,96 kg,male/female,Collective
#0690,Skrelp,Poison/Water,Electric/Ground/Psychic,0.5 m,7.3 kg,male/female,Mock Kelp
#0691,Dragalge,Poison/Dragon,Ice/Ground/Psychic/Dragon,1.8 m,81.5 kg,male/female,Mock Kelp
#0692,Clauncher,Water,Electric/Grass,0.5 m,8.3 kg,male/female,Water Gun
#0693,Clawitzer,Water,Electric/Grass,1.3 m,35.3 kg,male/female,Howitzer
#0694,Helioptile,Electric/Normal,Fighting/Ground,0.5 m,6 kg,male/female,Generator
#0695,Heliolisk,Electric/Normal,Fighting/Ground,1 m,21 kg,male/female,Generator
#0696,Tyrunt,Rock/Dragon,Ice/Fighting/Ground/Dragon/Steel/Fairy,0.8 m,26 kg,male/female,Royal Heir
#0697,Tyrantrum,Rock/Dragon,Ice/Fighting/Ground/Dragon/Steel/Fairy,2.5 m,270 kg,male/female,Despot
#0698,Amaura,Rock/Ice,Water/Grass/Fighting/Ground/Rock/Steel,1.3 m,25.2 kg,male/female,Tundra
#0699,Aurorus,Rock/Ice,Water/Grass/Fighting/Ground/Rock/Steel,2.7 m,225 kg,male/female,Tundra
#0700,Sylveon,Fairy,Poison/Steel,1 m,23.5 kg,male/female,Intertwining
#0701,Hawlucha,Fighting/Flying,Electric/Ice/Flying/Psychic/Fairy,0.8 m,21.5 kg,male/female,Wrestling
#0702,Dedenne,Electric/Fairy,Poison/Ground,0.2 m,2.2 kg,male/female,Antenna
#0703,Carbink,Rock/Fairy,Water/Grass/Ground/Steel,0.3 m,5.7 kg,genderless,Jewel
#0704,Goomy,Dragon,Ice/Dragon/Fairy,0.3 m,2.8 kg,male/female,Soft Tissue
#0705,Sliggoo,Dragon,Ice/Dragon/Fairy,0.8 m,17.5 kg,male/female,Soft Tissue
#0706,Goodra,Dragon,Ice/Dragon/Fairy,2 m,150.5 kg,male/female,Dragon
#0707,Klefki,Steel/Fairy,Fire/Ground/Steel,0.2 m,3 kg,male/female,Key Ring
#0708,Phantump,Ghost/Grass,Fire/Ice/Flying/Ghost/Dark,0.4 m,7 kg,male/female,Stump
#0709,Trevenant,Ghost/Grass,Fire/Ice/Flying/Ghost/Dark,1.5 m,71 kg,male/female,Elder Tree
#0710,Pumpkaboo-Average,Ghost/Grass,Fire/Ice/Flying/Ghost/Dark,0.4 m,5 kg,male/female,Pumpkin
#0711,Gourgeist-Average,Ghost/Grass,Fire/Ice/Flying/Ghost/Dark,0.9 m,12.5 kg,male/female,Pumpkin
#0712,Bergmite,Ice,Fire/Fighting/Rock/Steel,1 m,99.5 kg,male/female,Ice Chunk
#0713,Avalugg,Ice,Fire/Fighting/Rock/Steel,2 m,505 kg,male/female,Iceberg
#0714,Noibat,Flying/Dragon,Ice/Rock/Dragon/Fairy,0.5 m,8 kg,male/female,Sound Wave
#0715,Noivern,Flying/Dragon,Ice/Rock/Dragon/Fairy,1.5 m,85 kg,male/female,Sound Wave
#0716,Xerneas,Fairy,Poison/Steel,3 m,215 kg,genderless,Life
#0717,Yveltal,Dark/Flying,Electric/Ice/Rock/Fairy,5.8 m,203 kg,genderless,Destruction
#0718,Zygarde-50,Dragon/Ground,Ice/Dragon/Fairy,5 m,305 kg,genderless,Order
#0719,Diancie,Rock/Fairy,Water/Grass/Ground/Steel,0.7 m,8.8 kg,genderless,Jewel
#0720,Hoopa,Psychic/Ghost,Ghost/Dark,0.5 m,9 kg,genderless,Mischief
#0721,Volcanion,Fire/Water,Electric/Ground/Rock,1.7 m,195 kg,genderless,Steam
#0722,Rowlet,Grass/Flying,Fire/Ice/Poison/Flying/Rock,0.3 m,1.5 kg,male/female,Grass Quill
#0723,Dartrix,Grass/Flying,Fire/Ice/Poison/Flying/Rock,0.7 m,16 kg,male/female,Blade Quill
#0724,Decidueye,Grass/Ghost,Fire/Ice/Flying/Ghost/Dark,1.6 m,36.6 kg,male/female,Arrow Quill
#0725,Litten,Fire,Water/Ground/Rock,0.4 m,4.3 kg,male/female,Fire Cat
#0726,Torracat,Fire,Water/Ground/Rock,0.7 m,25 kg,male/female,Fire Cat
#0727,Incineroar,Fire/Dark,Water/Fighting/Ground/Rock,1.8 m,83 kg,male/female,Heel
#0728,Popplio,Water,Electric/Grass,0.4 m,7.5 kg,male/female,Sea Lion
#0729,Brionne,Water,Electric/Grass,0.6 m,17.5 kg,male/female,Pop Star
#0730,Primarina,Water/Fairy,Electric/Grass/Poison,1.8 m,44 kg,male/female,Soloist
#0731,Pikipek,Normal/Flying,Electric/Ice/Rock,0.3 m,1.2 kg,male/female,Woodpecker
#0732,Trumbeak,Normal/Flying,Electric/Ice/Rock,0.6 m,14.8 kg,male/female,Bugle Beak
#0733,Toucannon,Normal/Flying,Electric/Ice/Rock,1.1 m,26 kg,male/female,Cannon
#0734,Yungoos,Normal,Fighting,0.4 m,6 kg,male/female,Loitering
#0735,Gumshoos,Normal,Fighting,0.7 m,14.2 kg,male/female,Stakeout
#0736,Grubbin,Bug,Fire/Flying/Rock,0.4 m,4.4 kg,male/female,Larva
#0737,Charjabug,Bug/Electric,Fire/Rock,0.5 m,10.5 kg,male/female,Battery
#0738,Vikavolt,Bug/Electric,Fire/Rock,1.5 m,45 kg,male/female,Stag Beetle
#0739,Crabrawler,Fighting,Flying/Psychic/Fairy,0.6 m,7 kg,male/female,Boxing
#0740,Crabominable,Fighting/Ice,Fire/Fighting/Flying/Psychic/Steel/Fairy,1.7 m,180 kg,male/female,Woolly Crab
#0741,Oricorio-Baile,Fire/Flying,Water/Electric/Rock,0.6 m,3.4 kg,male/female,Dancing
#0742,Cutiefly,Bug/Fairy,Fire/Poison/Flying/Rock/Steel,0.1 m,0.2 kg,male/female,Bee Fly
#0743,Ribombee,Bug/Fairy,Fire/Poison/Flying/Rock/Steel,0.2 m,0.5 kg,male/female,Bee Fly
#0744,Rockruff,Rock,Water/Grass/Fighting/Ground/Steel,0.5 m,9.2 kg,male/female,Puppy
#0745,Lycanroc-Midday,Rock,Water/Grass/Fighting/Ground/Steel,0.8 m,25 kg,male/female,Wolf
#0746,Wishiwashi-Solo,Water,Electric/Grass,0.2 m,0.3 kg,male/female,Small Fry
#0747,Mareanie,Poison/Water,Electric/Ground/Psychic,0.4 m,8 kg,male/female,Brutal Star
#0748,Toxapex,Poison/Water,Electric/Ground/Psychic,0.7 m,14.5 kg,male/female,Brutal Star
#0749,Mudbray,Ground,Water/Grass/Ice,1 m,110 kg,male/female,Donkey
#0750,Mudsdale,Ground,Water/Grass/Ice,2.5 m,920 kg,male/female,Draft Horse
#0751,Dewpider,Water/Bug,Electric/Flying/Rock,0.3 m,4 kg,male/female,Water Bubble
#0752,Araquanid,Water/Bug,Electric/Flying/Rock,1.8 m,82 kg,male/female,Water Bubble
#0753,Fomantis,Grass,Fire/Ice/Poison/Flying/Bug,0.3 m,1.5 kg,male/female,Sickle Grass
#0754,Lurantis,Grass,Fire/Ice/Poison/Flying/Bug,0.9 m,18.5 kg,male/female,Bloom Sickle
#0755,Morelull,Grass/Fairy,Fire/Ice/Poison/Flying/Steel,0.2 m,1.5 kg,male/female,Illuminating
#0756,Shiinotic,Grass/Fairy,Fire/Ice/Poison/Flying/Steel,1 m,11.5 kg,male/female,Illuminating
#0757,Salandit,Poison/Fire,Water/Ground/Psychic/Rock,0.6 m,4.8 kg,male/female,Toxic Lizard
#0758,Salazzle,Poison/Fire,Water/Ground/Psychic/Rock,1.2 m,22.2 kg,female,Toxic Lizard
#0759,Stufful,Normal/Fighting,Fighting/Flying/Psychic/Fairy,0.5 m,6.8 kg,male/female,Flailing
#0760,Bewear,Normal/Fighting,Fighting/Flying/Psychic/Fairy,2.1 m,135 kg,male/female,Strong Arm
#0761,Bounsweet,Grass,Fire/Ice/Poison/Flying/Bug,0.3 m,3.2 kg,female,Fruit
#0762,Steenee,Grass,Fire/Ice/Poison/Flying/Bug,0.7 m,8.2 kg,female,Fruit
#0763,Tsareena,Grass,Fire/Ice/Poison/Flying/Bug,1.2 m,21.4 kg,female,Fruit
#0764,Comfey,Fairy,Poison/Steel,0.1 m,0.3 kg,male/female,Posy Picker
#0765,Oranguru,Normal/Psychic,Bug/Dark,1.5 m,76 kg,male/female,Sage
#0766,Passimian,Fighting,Flying/Psychic/Fairy,2 m,82.8 kg,male/female,Teamwork
#0767,Wimpod,Bug/Water,Electric/Flying/Rock,0.5 m,12 kg,male/female,Turn Tail
#0768,Golisopod,Bug/Water,Electric/Flying/Rock,2 m,108 kg,male/female,Hard Scale
#0769,Sandygast,Ghost/Ground,Water/Grass/Ice/Ghost/Dark,0.5 m,70 kg,male/female,Sand Heap
#0770,Palossand,Ghost/Ground,Water/Grass/Ice/Ghost/Dark,1.3 m,250 kg,male/female,Sand Castle
#0771,Pyukumuku,Water,Electric/Grass,0.3 m,1.2 kg,male/female,Sea Cucumber
#0772,Type-Null,Normal,Fighting,1.9 m,120.5 kg,genderless,Synthetic
#0773,Silvally,Normal,Fighting,2.3 m,100.5 kg,genderless,Synthetic
#0774,Minior-Red-Meteor,Rock/Flying,Water/Electric/Ice/Rock/Steel,0.3 m,40 kg,genderless,Meteor
#0775,Komala,Normal,Fighting,0.4 m,19.9 kg,male/female,Drowsing
#0776,Turtonator,Fire/Dragon,Ground/Rock/Dragon,2 m,212 kg,male/female,Blast Turtle
#0777,Togedemaru,Electric/Steel,Fire/Ground,0.3 m,3.3 kg,male/female,Roly-Poly
#0778,Mimikyu-Disguised,Ghost/Fairy,Ghost/Steel,0.2 m,0.7 kg,male/female,Disguise
#0779,Bruxish,Water/Psychic,Electric/Grass/Bug/Ghost/Dark,0.9 m,19 kg,male/female,Gnash Teeth
#0780,Drampa,Normal/Dragon,Ice/Fighting/Dragon/Fairy,3 m,185 kg,male/female,Placid
#0781,Dhelmise,Ghost/Grass,Fire/Ice/Flying/Ghost/Dark,3.9 m,210 kg,genderless,Sea Creeper
#0782,Jangmo-O,Dragon,Ice/Dragon/Fairy,0.6 m,29.7 kg,male/female,Scaly
#0783,Hakamo-O,Dragon/Fighting,Ice/Flying/Psychic/Dragon/Fairy,1.2 m,47 kg,male/female,Scaly
#0784,Kommo-O,Dragon/Fighting,Ice/Flying/Psychic/Dragon/Fairy,1.6 m,78.2 kg,male/female,Scaly
#0785,Tapu-Koko,Electric/Fairy,Poison/Ground,1.8 m,20.5 kg,genderless,Land Spirit
#0786,Tapu-Lele,Psychic/Fairy,Poison/Ghost/Steel,1.2 m,18.6 kg,genderless,Land Spirit
#0787,Tapu-Bulu,Grass/Fairy,Fire/Ice/Poison/Flying/Steel,1.9 m,45.5 kg,genderless,Land Spirit
#0788,Tapu-Fini,Water/Fairy,Electric/Grass/Poison,1.3 m,21.2 kg,genderless,Land Spirit
#0789,Cosmog,Psychic,Bug/Ghost/Dark,0.2 m,0.1 kg,genderless,Nebula
#0790,Cosmoem,Psychic,Bug/Ghost/Dark,0.1 m,999.9 kg,genderless,Protostar
#0791,Solgaleo,Psychic/Steel,Fire/Ground/Ghost/Dark,3.4 m,230 kg,genderless,Sunne
#0792,Lunala,Psychic/Ghost,Ghost/Dark,4 m,120 kg,genderless,Moone
#0793,Nihilego,Rock/Poison,Water/Ground/Psychic/Steel,1.2 m,55.5 kg,genderless,Parasite
#0794,Buzzwole,Bug/Fighting,Fire/Flying/Psychic/Fairy,2.4 m,333.6 kg,genderless,Swollen
#0795,Pheromosa,Bug/Fighting,Fire/Flying/Psychic/Fairy,1.8 m,25 kg,genderless,Lissome
#0796,Xurkitree,Electric,Ground,3.8 m,100 kg,genderless,Glowing
#0797,Celesteela,Steel/Flying,Fire/Electric,9.2 m,999.9 kg,genderless,Launch
#0798,Kartana,Grass/Steel,Fire,0.3 m,0.1 kg,genderless,Drawn Sword
#0799,Guzzlord,Dark/Dragon,Ice/Fighting/Bug/Dragon/Fairy,5.5 m,888 kg,genderless,Junkivore
#0800,Necrozma,Psychic,Bug/Ghost/Dark,2.4 m,230 kg,genderless,Prism
#0801,Magearna,Steel/Fairy,Fire/Ground/Steel,1 m,80.5 kg,genderless,Artificial
#0802,Marshadow,Fighting/Ghost,Flying/Psychic/Ghost/Fairy,0.7 m,22.2 kg,genderless,Gloomdweller
#0803,Poipole,Poison,Ground/Psychic,0.6 m,1.8 kg,genderless,Poison Pin
#0804,Naganadel,Poison/Dragon,Ice/Ground/Psychic/Dragon,3.6 m,150 kg,genderless,Poison Pin
#0805,Stakataka,Rock/Steel,Water/Fighting/Ground/Steel,5.5 m,820 kg,genderless,Rampart
#0806,Blacephalon,Fire/Ghost,Water/Ground/Rock/Ghost/Dark,1.8 m,13 kg,genderless,Fireworks
#0807,Zeraora,Electric,Ground,1.5 m,44.5 kg,genderless,Thunderclap
#0808,Meltan,Steel,Fire/Ground,0.2 m,8 kg,genderless,Hex Nut
#0809,Melmetal,Steel,Fire/Ground,2.5 m,800 kg,genderless,Hex Nut
#0810,Grookey,Grass,Fire/Ice/Poison/Flying/Bug,0.3 m,5 kg,male/female,Chimp
#0811,Thwackey,Grass,Fire/Ice/Poison/Flying/Bug,0.7 m,14 kg,male/female,Beat
#0812,Rillaboom,Grass,Fire/Ice/Poison/Flying/Bug,2.1 m,90 kg,male/female,Drummer
#0813,Scorbunny,Fire,Water/Ground/Rock,0.3 m,4.5 kg,male/female,Rabbit
#0814,Raboot,Fire,Water/Ground/Rock,0.6 m,9 kg,male/female,Rabbit
#0815,Cinderace,Fire,Water/Ground/Rock,1.4 m,33 kg,male/female,Striker
#0816,Sobble,Water,Electric/Grass,0.3 m,4 kg,male/female,Water Lizard
#0817,Drizzile,Water,Electric/Grass,0.7 m,11.5 kg,male/female,Water Lizard
#0818,Inteleon,Water,Electric/Grass,1.9 m,45.2 kg,male/female,Secret Agent
#0819,Skwovet,Normal,Fighting,0.3 m,2.5 kg,male/female,Cheeky
#0820,Greedent,Normal,Fighting,0.6 m,6 kg,male/female,Greedy
#0821,Rookidee,Flying,Electric/Ice/Rock,0.2 m,1.8 kg,male/female,Tiny Bird
#0822,Corvisquire,Flying,Electric/Ice/Rock,0.8 m,16 kg,male/female,Raven
#0823,Corviknight,Flying/Steel,Fire/Electric,2.2 m,75 kg,male/female,Raven
#0824,Blipbug,Bug,Fire/Flying/Rock,0.4 m,8 kg,male/female,Larva
